budget,deterministic_time,distinct_offsets,excess_regions,form,gap_pct,lambda_millions,max_abs_offset_min,mismatched_boundaries,n_enclave_counties,n_islands,n_mainland_offsets,n_regions,pct_boundaries_mismatched,pw_mean_abs_offset_min,seed,sha256,status,total_boundaries,wall_limit_hit,wall_seconds,workers
,0.0,8,4,penalty,0.0,0.0,29.988,260,7,3,8,12,2.91,14.516876186667607,0,51a6bbcc370d2b8c64cdac11331b3cac3750f8b67e50a91dc39d4b7798afd1b3,OPTIMAL,8933,False,1.6,8
,12.62,7,3,penalty,0.0624,0.1,31.05,238,5,3,7,10,2.66,14.519834170058136,0,a971b5055a4c7c2bb314de3014f910361c915f69a3b172a9d0711615234faa11,FEASIBLE,8933,False,221.2,8
,12.6,7,1,penalty,1.4176,0.5,72.592,232,2,3,6,7,2.6,14.530497914403382,0,abfaab8460cbc250f4dbb71b6c6a7ad1b0b688afb7e861da899840d8264816f5,FEASIBLE,8933,False,259.0,8
,12.54,7,2,penalty,3.5695,1.0,41.14,235,4,3,7,9,2.63,14.523429440460909,0,b088f3ff6c828539a1ef6cb0ff8207e6b7aa65c984d0e32beb8cf7df42bc14cf,FEASIBLE,8933,False,281.2,8
,12.59,7,1,penalty,8.6765,2.0,72.592,228,2,3,6,7,2.55,14.530890848204917,0,c82f6abb660815e8bb1975a4a1bee47f8a0b08a9b6040eb3ba5fff3c572e4a40,FEASIBLE,8933,False,390.2,8
,3.51,8,1,penalty,20.0062,5.0,72.592,241,2,3,8,9,2.7,14.526330758463768,0,51095e3853fbec81ee36c1b8c61f9541780e3c4a8f2e9904a0b526ce2d96bdaa,FEASIBLE,8933,False,13.4,8
,12.28,6,1,penalty,29.0493,10.0,73.286,224,2,3,6,7,2.51,14.59118490194281,0,dfa094239ffe4831f87de5e4711d7f59d4d947125cf4f8970e8134256bb1821c,FEASIBLE,8933,True,400.1,8
,12.3,6,1,penalty,45.2169,20.0,73.286,228,2,3,6,7,2.55,14.541767170630852,0,c605591611e0b337242fb07b0f6628064cd84ac3e6e8668617e4c6489452a2fa,FEASIBLE,8933,True,400.1,8
,12.6,3,1,penalty,70.7408,50.0,137.312,0,2,3,2,3,0.0,50.79107689625973,0,43d8f2cb7323f5baf4aabcf61a6ede814b279cb013f4d40dc70afbb3e00ccfb2,FEASIBLE,8933,True,393.5,8
